date,npm_weekly,npm_monthly,github_stars,github_forks,github_watchers,github_issues
2026-04-10,136,2298,1,0,1,0
2026-04-10,136,2298,1,0,1,0
2026-04-10,136,2298,1,0,1,0
2026-04-13,309,1428,1,0,1,0
